Developer,Repository Name,Number of Stars
BoomingTech,Pilot,1,550
codeedu,imersao-7-codepix,170
MicrosoftDocs,azure-docs,6,935
trufflesecurity,trufflehog,7,636
Lissy93,personal-security-checklist,6,125
Anduin2017,HowToCook,36,472
shuax,chrome_plus,250
CompVis,latent-diffusion,1,096
tgbot-collection,YYeTsBot,10,144
appsmithorg,appsmith,14,691
NCSC-NL,spring4shell,198
kris-nova,boopkit,643
kestra-io,kestra,2,155
saic-mdal,lama,3,478
shuax,edge_plus,194
MichaelCade,90DaysOfDevOps,6,488
arthurspk,guiadobackend,510
Atmosphere-NX,Atmosphere,9,049
s0md3v,Smap,1,525
danielmiessler,SecLists,38,267
zbroyar,mass_killings,207
Azure,azure-sdk-for-net,3,611
saikou-app,saikou,1,124
microsoft,azure-pipelines-tasks,2,909
vercel,next.js,84,856
